,Place,Date enacted,Date lifted
0,Albania,2020-03-13,
1,Algeria,2020-03-23,2020-05-14
2,Argentina,2020-03-19,2020-05-24
3,Armenia,2020-03-24,2020-05-04
4,Australia,2020-03-23,
5,Austria,2020-03-16,2020-04-13
6,Azerbaijan,2020-03-31,2020-04-20
7,Bangladesh,2020-03-26,2020-05-16
8,Barbados,2020-03-28,2020-05-03
9,Belgium,2020-03-18,2020-05-04
10,Bermuda,2020-04-04,2020-05-02
11,Bolivia,2020-03-22,2020-04-15
12,Botswana,2020-04-02,2020-04-30
13,Santa Catarina,2020-03-17,2020-04-07
14,Ṣo Paulo,2020-03-24,2020-05-10
15,Colombia,2020-03-25,2020-05-31
16,Republic of the Congo,2020-03-31,2020-04-20
17,Costa Rica,2020-03-23,
18,Croatia,2020-03-18,2020-04-19
19,Czech Republic,2020-03-16,2020-04-12
20,Ecuador,2020-03-16,2020-03-31
21,El Salvador,2020-03-12,2020-04-02
22,Eritrea,2020-04-02,2020-04-23
23,Lautoka,2020-03-20,2020-04-07
24,Suva,2020-04-03,2020-04-17
25,Uusimaa,2020-03-27,2020-04-16
26,France,2020-03-17,2020-05-11
28,Germany,2020-03-23,2020-04-20
29,Accra,2020-03-30,2020-04-12
30,Kumasi,2020-03-30,2020-04-12
31,Greece,2020-03-23,2020-05-04
32,Guernsey,2020-03-25,
33,Honduras,2020-03-20,2020-05-17
34,Hungary,2020-03-28,2020-04-10
35,India,2020-03-25,2020-05-31
36,Iran,2020-03-14,2020-04-20
37,Iraq,2020-03-22,2020-04-11
38,Ireland,2020-03-12,2020-05-18
39,Bnei Brak,2020-04-02,
40,Italy,2020-03-09,2020-05-03
41,Saint Catherine,2020-04-15,2020-04-22
42,Jordan,2020-03-18,2020-04-30
43,Kosovo,2020-03-14,2020-05-04
44,Kuwait,2020-03-14,2020-03-29
45,Lebanon,2020-03-15,2020-03-28
46,Margibi,2020-03-23,2020-04-11
47,Montserrado,2020-03-23,2020-04-11
48,Libya,2020-03-22,
49,Lithuania,2020-03-16,2020-04-27
50,Antananarivo,2020-03-23,2020-04-20
51,Toamasina,2020-03-23,2020-04-20
52,Malaysia,2020-03-18,2020-06-09
53,Mongolia,2020-03-10,2020-03-16
54,Tuzi,2020-03-24,
55,Morocco,2020-03-19,2020-04-20
56,Namibia,2020-03-27,2020-05-04
57,Nepal,2020-03-24,2020-04-15
58,New Zealand,2020-03-26,2020-05-14
59,Abuja,2020-03-30,2020-04-12
60,Lagos,2020-03-30,2020-04-12
61,Ogun,2020-03-30,2020-04-12
62,Northern Cyprus,2020-03-30,
63,Muscat,2020-04-10,2020-05-29
64,Jalan Bani Bu Ali,2020-04-16,
66,Panama,2020-03-25,
67,Papua New Guinea,2020-03-24,2020-04-07
68,Paraguay,2020-03-20,2020-05-03
69,Peru,2020-03-16,2020-05-24
70,Cebu,2020-03-27,2020-05-15
71,Davao Region,2020-03-19,2020-05-15
72,Luzon,2020-03-15,2020-04-30
73,Soccsksargen,2020-03-23,
74,Poland,2020-03-13,2020-04-11
76,Doha Industrial Area,2020-03-11,
77,Romania,2020-03-25,2020-05-12
78,Moscow,2020-03-30,2020-05-12
79,Rest of the country,2020-03-28,2020-04-30
80,Rwanda,2020-03-21,2020-04-19
81,Samoa,2020-03-26,2020-04-08
82,San Marino,2020-03-14,2020-05-05
83,Jeddah,2020-03-29,
84,Mecca,2020-03-26,
85,Medina,2020-03-26,
86,Qatif,2020-03-09,
87,Riyadh,2020-03-26,
88,Serbia,2020-03-15,
89,Singapore,2020-04-07,2020-06-01
90,South Africa,2020-03-26,2020-04-30
91,Spain,2020-03-14,2020-05-09
92,Thailand,2020-03-25,2020-05-31
93,Trinidad and Tobago,2020-03-17,2020-03-31
94,Tunisia,2020-03-22,2020-04-19
95,Turkey,2020-04-23,2020-04-27
96,Ukraine,2020-03-17,2020-04-24
97,United Arab Emirates,2020-03-26,2020-04-17
98,United Kingdom,2020-03-23,
99,California,2020-03-19,
100,"Clark County, NV",2020-03-20,
101,Connecticut,2020-03-23,2020-04-22
102,Illinois,2020-03-21,2020-05-30
103,"Kansas City, KS",2020-03-24,2020-04-19
104,Massachusetts,2020-03-24,2020-05-04
105,Michigan,2020-03-24,2020-04-13
106,New York,2020-03-20,2020-06-13
107,Oregon,2020-03-24,
108,Wisconsin,2020-03-24,
109,Venezuela,2020-03-17,2020-05-13
110,Zimbabwe,2020-03-30,2020-05-02
111,,,
